clave_entidad,entidad_federativa,clave_municipio,municipio,grupo,poblacion,pobreza_porcentaje,carencia_rezago_educativo_porcentaje,carencia_servicios_de_salud_porcentaje,carencia_seguridad_social_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,carencia_servicios_basicos_vivienda_porcentaje,carencia_alimentacion_nutritiva_calidad_porcentaje,ingreso_inferior_a_lpi_porcentaje,periodo,entidad,entidad_federativa_etq
3,Baja California Sur,3003,La Paz,Población por sexo: mujeres,162561,20.782444,8.913888,11.918701,32.792597,4.124426,4.092866,22.137864,28.52866,2020-01-01,Baja California Sur,Baja California Sur
3,Baja California Sur,3008,Los Cabos,Población por sexo: mujeres,189081,32.367037,11.600993,18.556727,37.96131,18.340827,11.980038,23.33047,40.134103,2020-01-01,Baja California Sur,Baja California Sur
3,Baja California Sur,3009,Loreto,Población por sexo: mujeres,9242,34.537874,11.839913,10.054283,40.464968,9.278653,7.431973,19.798276,44.588452,2020-01-01,Baja California Sur,Baja California Sur
4,Campeche,4001,Calkiní,Población por sexo: mujeres,33677,62.854113,19.407052,18.365621,63.145601,16.050541,53.081202,26.622288,68.883943,2020-01-01,Campeche,Campeche
4,Campeche,4002,Campeche,Población por sexo: mujeres,156707,31.671993,11.147763,16.112487,39.241029,6.650448,12.219311,18.582452,43.491411,2020-01-01,Campeche,Campeche
4,Campeche,4003,Carmen,Población por sexo: mujeres,130146,35.300367,15.141992,23.05612,47.503493,15.476837,20.602077,27.82671,40.296328,2020-01-01,Campeche,Campeche
4,Campeche,4004,Champotón,Población por sexo: mujeres,41726,57.430367,20.427933,17.67257,65.49901,13.732849,44.041565,28.366851,63.040383,2020-01-01,Campeche,Campeche
4,Campeche,4005,Hecelchakán,Población por sexo: mujeres,19127,66.390259,16.197173,14.540513,62.50674,11.31252,55.941335,26.12092,72.839857,2020-01-01,Campeche,Campeche
4,Campeche,4006,Hopelchén,Población por sexo: mujeres,24817,74.950554,32.489765,23.71384,81.34835,12.66116,63.840086,16.677927,76.99548,2020-01-01,Campeche,Campeche
4,Campeche,4007,Palizada,Población por sexo: mujeres,4557,59.800246,20.0,-999.0,79.630542,22.783251,51.305419,16.009852,62.905665,2020-01-01,Campeche,Campeche
4,Campeche,4008,Tenabo,Población por sexo: mujeres,5919,54.646831,23.424043,19.642737,63.243289,14.522054,46.128435,29.43885,59.104452,2020-01-01,Campeche,Campeche
4,Campeche,4009,Escárcega,Población por sexo: mujeres,33152,68.314244,20.507592,15.348579,75.883474,17.185803,46.009549,25.622738,73.07551,2020-01-01,Campeche,Campeche
4,Campeche,4010,Calakmul,Población por sexo: mujeres,20154,82.701784,20.163886,20.939151,85.022919,19.447695,69.729386,35.130238,83.667186,2020-01-01,Campeche,Campeche
4,Campeche,4011,Candelaria,Población por sexo: mujeres,27372,80.661964,24.518123,24.054709,87.724454,23.92709,67.657072,27.926014,82.053769,2020-01-01,Campeche,Campeche
4,Campeche,4012,Seybaplaya,Población por sexo: mujeres,-888,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,2020-01-01,Campeche,Campeche
5,Coahuila de Zaragoza,5001,Abasolo,Población por sexo: mujeres,484,-999.0,12.951168,38.428875,59.235669,-999.0,-999.0,-999.0,-999.0,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5002,Acuña,Población por sexo: mujeres,80291,24.184266,13.627841,19.680033,27.292511,5.1571,-999.0,14.748644,36.214266,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5003,Allende,Población por sexo: mujeres,11332,25.108679,13.00885,20.912909,34.094093,2.795447,-999.0,6.811145,38.490702,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5004,Arteaga,Población por sexo: mujeres,16448,29.21518,16.617093,42.303875,50.765217,4.756051,-999.0,17.396261,34.361175,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5005,Candela,Población por sexo: mujeres,801,34.250323,22.451613,16.258065,62.451613,7.096774,-999.0,21.290323,40.24129,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5006,Castaños,Población por sexo: mujeres,13715,33.163691,12.026868,19.840663,29.765813,2.195371,19.77712,12.954251,51.683235,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Población por sexo: mujeres,6260,32.428851,16.005756,26.853311,53.942754,-999.0,-999.0,-999.0,39.154934,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5008,Escobedo,Población por sexo: mujeres,1517,29.17336,17.001339,33.467202,58.299866,-999.0,13.788487,24.832664,34.239625,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5009,Francisco I. Madero,Población por sexo: mujeres,31359,32.17642,15.695198,26.295231,46.326678,3.196072,-999.0,29.313046,39.303492,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5010,Frontera,Población por sexo: mujeres,38877,22.462699,11.584991,13.27307,25.689892,2.736789,-999.0,13.405105,39.103703,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5011,General Cepeda,Población por sexo: mujeres,5599,38.016273,15.322791,26.024582,43.417651,4.937266,5.312343,14.052969,53.468418,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5012,Guerrero,Población por sexo: mujeres,763,25.85266,19.645293,-999.0,41.609823,-999.0,-999.0,36.698499,29.912688,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5013,Hidalgo,Población por sexo: mujeres,839,25.284635,20.654912,47.607053,62.594458,-999.0,-999.0,41.813602,26.497481,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5014,Jiménez,Población por sexo: mujeres,4650,24.757576,23.043872,16.824966,40.79602,9.430122,11.397558,29.850746,29.330393,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5015,Juárez,Población por sexo: mujeres,795,30.587322,15.653299,28.589909,78.783959,-999.0,-999.0,12.548512,32.684347,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5016,Lamadrid,Población por sexo: mujeres,842,-999.0,14.727723,11.509901,48.143564,-999.0,-999.0,-999.0,-999.0,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5017,Matamoros,Población por sexo: mujeres,61373,27.368107,15.135619,23.178193,35.572734,4.003446,-999.0,23.854358,36.94736,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5018,Monclova,Población por sexo: mujeres,119975,22.703391,8.740012,18.334203,26.589531,1.971172,0.87764,17.863907,35.725372,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5019,Morelos,Población por sexo: mujeres,3985,23.658398,11.576227,15.917313,40.594315,4.702842,4.547804,15.684755,31.951421,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5020,Múzquiz,Población por sexo: mujeres,34624,29.375166,13.262029,17.704253,32.250147,4.204025,3.846711,16.524647,43.870142,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5021,Nadadores,Población por sexo: mujeres,3285,16.78176,9.92,8.928,27.84,-999.0,-999.0,7.648,31.00352,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5022,Nava,Población por sexo: mujeres,15443,24.472057,12.342524,17.161193,28.672347,4.890065,1.53666,9.671583,38.935371,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5023,Ocampo,Población por sexo: mujeres,4744,34.765873,21.119929,7.186949,41.291887,8.090829,-999.0,34.545855,40.172619,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5024,Parras,Población por sexo: mujeres,21339,29.233653,11.578808,18.53876,34.100918,4.013479,-999.0,20.271083,43.909485,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5025,Piedras Negras,Población por sexo: mujeres,88385,23.007927,11.867984,21.758625,31.948541,1.85984,-999.0,14.214509,33.774437,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5026,Progreso,Población por sexo: mujeres,1609,27.783472,17.616912,17.488789,37.6041,4.29212,-999.0,30.941704,-999.0,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5027,Ramos Arizpe,Población por sexo: mujeres,59672,17.328642,10.555955,16.548817,24.724087,2.997974,4.708136,11.268247,28.492891,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5028,Sabinas,Población por sexo: mujeres,31271,20.618024,11.795452,13.174561,26.238872,1.396513,-999.0,10.151078,36.797414,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5029,Sacramento,Población por sexo: mujeres,1236,-999.0,13.183001,21.769297,34.171726,-999.0,3.816132,12.055507,-999.0,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5030,Saltillo,Población por sexo: mujeres,432963,17.871444,8.466961,17.752066,25.745595,2.404722,-999.0,10.881714,29.829464,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5031,San Buenaventura,Población por sexo: mujeres,12252,22.872203,9.180604,17.48672,31.763411,-999.0,1.743034,11.409848,38.394655,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Población por sexo: mujeres,19271,21.887609,10.148554,9.498854,23.157873,2.319306,-999.0,6.94801,43.48939,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5033,San Pedro,Población por sexo: mujeres,52930,41.653254,17.140688,29.502772,42.709424,4.233168,-999.0,28.915439,51.760409,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5034,Sierra Mojada,Población por sexo: mujeres,3310,25.831077,11.411992,2.965828,30.077369,11.44423,-999.0,12.508059,41.092199,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5035,Torreón,Población por sexo: mujeres,363807,25.734406,9.569261,24.551419,36.212041,2.208978,0.483783,14.513262,38.141297,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5036,Viesca,Población por sexo: mujeres,10469,43.623291,21.099285,33.094378,45.814843,5.5742,8.279198,33.016516,52.692275,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5037,Villa Unión,Población por sexo: mujeres,3000,27.633965,14.749662,25.169147,42.895805,8.11908,4.73613,9.235453,36.115359,2020-01-01,Coahuila,Coahuila
5,Coahuila de Zaragoza,5038,Zaragoza,Población por sexo: mujeres,6441,33.89844,15.626972,17.932275,45.906114,5.844068,-999.0,-999.0,42.175044,2020-01-01,Coahuila,Coahuila
6,Colima,6001,Armería,Población por sexo: mujeres,13939,39.307511,22.462849,8.343698,60.911586,12.26343,14.845072,23.730589,43.792121,2020-01-01,Colima,Colima
6,Colima,6002,Colima,Población por sexo: mujeres,87026,25.619928,11.895379,16.490008,41.030377,5.819546,-999.0,17.334597,32.784251,2020-01-01,Colima,Colima
6,Colima,6003,Comala,Población por sexo: mujeres,11628,47.299558,16.484336,14.749887,65.57507,11.461527,31.943405,20.629297,51.364246,2020-01-01,Colima,Colima
6,Colima,6004,Coquimatlán,Población por sexo: mujeres,11158,45.981064,18.661236,19.706472,59.832593,9.456891,22.053506,20.016998,52.458401,2020-01-01,Colima,Colima
6,Colima,6005,Cuauhtémoc,Población por sexo: mujeres,16359,28.920741,13.004107,14.124762,44.33202,3.665536,7.983234,15.111201,37.357258,2020-01-01,Colima,Colima
6,Colima,6006,Ixtlahuacán,Población por sexo: mujeres,2954,43.119585,21.843762,3.665309,74.083673,11.662347,39.022584,20.584969,45.112921,2020-01-01,Colima,Colima
6,Colima,6007,Manzanillo,Población por sexo: mujeres,102352,25.316788,14.489842,17.81189,38.679633,7.099114,3.340505,11.54983,34.069881,2020-01-01,Colima,Colima
6,Colima,6008,Minatitlán,Población por sexo: mujeres,5488,29.665074,21.186886,7.566475,37.44409,12.62176,33.371559,17.818138,34.998102,2020-01-01,Colima,Colima
6,Colima,6009,Tecomán,Población por sexo: mujeres,60506,39.432344,21.838831,16.382578,55.713026,12.284199,15.146502,26.805288,44.906392,2020-01-01,Colima,Colima
6,Colima,6010,Villa de Álvarez,Población por sexo: mujeres,85268,19.527213,8.07687,18.8251,36.205857,3.461946,-999.0,13.040402,27.20393,2020-01-01,Colima,Colima
7,Chiapas,7001,Acacoyagua,Población por sexo: mujeres,10348,77.769425,29.987274,41.715123,86.425494,12.974421,70.522348,17.036074,78.700937,2020-01-01,Chiapas,Chiapas
7,Chiapas,7002,Acala,Población por sexo: mujeres,8838,77.654842,31.416139,31.064617,79.048322,30.025571,46.156953,30.402933,81.445038,2020-01-01,Chiapas,Chiapas
7,Chiapas,7003,Acapetahua,Población por sexo: mujeres,15549,58.406031,30.837729,42.445056,81.468141,14.198984,59.354442,15.013565,59.782385,2020-01-01,Chiapas,Chiapas
7,Chiapas,7004,Altamirano,Población por sexo: mujeres,17294,94.97419,47.503911,31.479952,79.628971,14.662438,64.881388,20.491575,97.195039,2020-01-01,Chiapas,Chiapas
7,Chiapas,7005,Amatán,Población por sexo: mujeres,13342,90.644458,31.984845,40.363481,93.106373,21.811236,87.731148,14.603073,90.902026,2020-01-01,Chiapas,Chiapas
7,Chiapas,7006,Amatenango de la Frontera,Población por sexo: mujeres,16872,80.815479,33.344841,30.894908,87.710935,10.681911,56.276855,10.867666,82.187142,2020-01-01,Chiapas,Chiapas
7,Chiapas,7007,Amatenango del Valle,Población por sexo: mujeres,5977,94.668029,58.086483,25.553286,81.205312,37.385087,51.736466,-999.0,97.356656,2020-01-01,Chiapas,Chiapas
7,Chiapas,7008,Ángel Albino Corzo,Población por sexo: mujeres,15124,85.306244,36.295931,34.393556,90.831481,20.439956,58.684519,15.262648,85.937617,2020-01-01,Chiapas,Chiapas
7,Chiapas,7009,Arriaga,Población por sexo: mujeres,22598,62.334462,24.169262,43.874566,69.685562,8.68931,36.206367,34.068832,66.669728,2020-01-01,Chiapas,Chiapas
7,Chiapas,7010,Bejucal de Ocampo,Población por sexo: mujeres,3793,93.835873,37.262764,24.325047,90.804598,18.150227,46.217589,-999.0,94.627105,2020-01-01,Chiapas,Chiapas
7,Chiapas,7011,Bella Vista,Población por sexo: mujeres,9686,82.686423,34.275194,9.952178,74.725445,13.777372,67.353042,-999.0,86.276901,2020-01-01,Chiapas,Chiapas
7,Chiapas,7012,Berriozábal,Población por sexo: mujeres,34283,61.52483,28.183586,52.436299,74.348102,17.636399,50.028563,18.504095,64.419838,2020-01-01,Chiapas,Chiapas
7,Chiapas,7013,Bochil,Población por sexo: mujeres,17982,78.393588,29.542351,46.637413,67.934155,24.457374,54.470718,40.840362,83.438109,2020-01-01,Chiapas,Chiapas
7,Chiapas,7014,El Bosque,Población por sexo: mujeres,12689,96.344568,44.502957,13.643361,81.892571,34.861865,75.087094,15.847039,97.731508,2020-01-01,Chiapas,Chiapas
7,Chiapas,7015,Cacahoatán,Población por sexo: mujeres,25964,76.539597,24.718481,57.453751,79.030555,18.839456,44.715674,19.581911,80.37231,2020-01-01,Chiapas,Chiapas
7,Chiapas,7016,Catazajá,Población por sexo: mujeres,11034,67.498969,29.748925,43.606062,83.099689,14.814021,78.847283,36.339467,68.083455,2020-01-01,Chiapas,Chiapas
7,Chiapas,7017,Cintalapa,Población por sexo: mujeres,45113,72.252813,27.305913,36.192231,82.445384,13.264818,44.243154,20.333007,74.6322,2020-01-01,Chiapas,Chiapas
7,Chiapas,7018,Coapilla,Población por sexo: mujeres,5050,83.223754,35.934333,16.639643,90.271585,30.441832,59.424402,21.382246,84.154236,2020-01-01,Chiapas,Chiapas
7,Chiapas,7019,Comitán de Domínguez,Población por sexo: mujeres,86285,68.987556,31.117483,40.587417,80.530014,5.827404,27.859046,22.885753,71.703519,2020-01-01,Chiapas,Chiapas
7,Chiapas,7020,La Concordia,Población por sexo: mujeres,25812,76.694096,33.406437,28.904965,89.394121,18.137711,70.207898,25.586692,77.068559,2020-01-01,Chiapas,Chiapas
7,Chiapas,7021,Copainalá,Población por sexo: mujeres,11227,74.781031,25.819092,30.637031,84.241265,-999.0,57.041549,10.173362,76.623135,2020-01-01,Chiapas,Chiapas
7,Chiapas,7022,Chalchihuitán,Población por sexo: mujeres,11163,98.998353,54.885636,23.421775,92.881976,64.830741,97.401647,29.15828,99.007685,2020-01-01,Chiapas,Chiapas
7,Chiapas,7023,Chamula,Población por sexo: mujeres,55566,96.235302,59.920555,17.590158,90.218291,41.546978,72.72744,13.687772,96.848631,2020-01-01,Chiapas,Chiapas
7,Chiapas,7024,Chanal,Población por sexo: mujeres,7014,99.232816,36.141907,12.786401,90.968219,55.698448,91.529933,29.47524,99.272284,2020-01-01,Chiapas,Chiapas
7,Chiapas,7025,Chapultenango,Población por sexo: mujeres,3834,86.096288,26.277569,13.421194,75.712749,33.969876,74.556213,14.497041,90.135826,2020-01-01,Chiapas,Chiapas
7,Chiapas,7026,Chenalhó,Población por sexo: mujeres,24452,98.703491,55.925112,19.655989,94.577804,52.332854,91.082749,11.195165,98.951991,2020-01-01,Chiapas,Chiapas
7,Chiapas,7027,Chiapa de Corzo,Población por sexo: mujeres,54046,60.507778,21.236026,40.512878,66.44107,16.380113,32.633503,24.761642,66.060033,2020-01-01,Chiapas,Chiapas
7,Chiapas,7028,Chiapilla,Población por sexo: mujeres,3052,83.599596,38.45895,16.083445,84.084791,32.974428,45.39031,22.341857,85.722746,2020-01-01,Chiapas,Chiapas
7,Chiapas,7029,Chicoasén,Población por sexo: mujeres,2704,78.255585,31.503218,37.107156,66.86861,28.587656,45.096554,19.045816,88.910261,2020-01-01,Chiapas,Chiapas
7,Chiapas,7030,Chicomuselo,Población por sexo: mujeres,18760,81.856246,37.833614,23.456116,90.720884,18.474342,72.871365,25.513026,82.368086,2020-01-01,Chiapas,Chiapas
7,Chiapas,7031,Chilón,Población por sexo: mujeres,67888,96.868784,44.897242,28.995125,94.630007,27.150552,94.32513,4.995334,97.012383,2020-01-01,Chiapas,Chiapas
7,Chiapas,7032,Escuintla,Población por sexo: mujeres,15696,70.595409,28.761822,41.26315,80.739659,17.737005,50.012606,17.852937,72.836958,2020-01-01,Chiapas,Chiapas
7,Chiapas,7033,Francisco León,Población por sexo: mujeres,3577,86.949524,32.93914,-999.0,95.125469,37.0349,78.396308,-999.0,87.135564,2020-01-01,Chiapas,Chiapas
7,Chiapas,7034,Frontera Comalapa,Población por sexo: mujeres,44798,77.420748,31.363707,53.076443,89.874955,11.460791,46.99317,23.075825,78.700068,2020-01-01,Chiapas,Chiapas
7,Chiapas,7035,Frontera Hidalgo,Población por sexo: mujeres,7955,69.765669,25.791969,38.287489,71.934148,16.074025,63.983931,29.007441,72.639019,2020-01-01,Chiapas,Chiapas
7,Chiapas,7036,La Grandeza,Población por sexo: mujeres,3987,88.175838,27.796263,13.642181,86.844126,20.015357,15.152291,-999.0,90.404914,2020-01-01,Chiapas,Chiapas
7,Chiapas,7037,Huehuetán,Población por sexo: mujeres,22043,56.832681,26.849698,41.888455,74.964974,13.769206,68.125402,20.925214,58.98283,2020-01-01,Chiapas,Chiapas
7,Chiapas,7038,Huixtán,Población por sexo: mujeres,10948,96.627109,39.389287,-999.0,88.619393,17.896127,73.923664,-999.0,97.661492,2020-01-01,Chiapas,Chiapas
7,Chiapas,7039,Huitiupán,Población por sexo: mujeres,13364,94.150367,37.654131,42.894765,90.031619,35.067981,90.19831,26.965234,94.858154,2020-01-01,Chiapas,Chiapas
7,Chiapas,7040,Huixtla,Población por sexo: mujeres,29775,57.824526,24.801101,49.538005,64.798123,12.161722,44.256482,22.113723,61.692481,2020-01-01,Chiapas,Chiapas
7,Chiapas,7041,La Independencia,Población por sexo: mujeres,24753,91.78332,43.036519,22.376426,91.14531,8.128824,66.327748,21.345447,92.385628,2020-01-01,Chiapas,Chiapas
7,Chiapas,7042,Ixhuatán,Población por sexo: mujeres,5667,85.158313,27.881703,-999.0,92.73876,-999.0,68.865133,-999.0,86.171247,2020-01-01,Chiapas,Chiapas
7,Chiapas,7043,Ixtacomitán,Población por sexo: mujeres,6507,65.714971,19.751818,47.450733,82.907528,13.448883,59.8862,16.201631,67.39303,2020-01-01,Chiapas,Chiapas
7,Chiapas,7044,Ixtapa,Población por sexo: mujeres,14183,87.104537,32.015084,31.913524,82.972904,20.240235,66.872738,43.247504,90.210427,2020-01-01,Chiapas,Chiapas
7,Chiapas,7045,Ixtapangajoya,Población por sexo: mujeres,3203,71.793249,33.625446,33.333333,91.78838,27.75073,76.209023,16.19604,72.008763,2020-01-01,Chiapas,Chiapas
7,Chiapas,7046,Jiquipilas,Población por sexo: mujeres,22678,65.694483,27.017256,42.410788,78.538719,13.559375,54.702119,29.795997,67.426017,2020-01-01,Chiapas,Chiapas
7,Chiapas,7047,Jitotol,Población por sexo: mujeres,14364,94.786035,30.676797,50.268019,89.168963,13.480869,73.88007,13.807012,95.6976,2020-01-01,Chiapas,Chiapas
7,Chiapas,7048,Juárez,Población por sexo: mujeres,13326,55.583438,24.814437,35.390537,82.791967,10.122091,66.21911,-999.0,56.555938,2020-01-01,Chiapas,Chiapas
7,Chiapas,7049,Larráinzar,Población por sexo: mujeres,16236,95.663238,39.078574,17.242032,82.4361,41.27485,54.408331,10.224045,97.811928,2020-01-01,Chiapas,Chiapas
7,Chiapas,7050,La Libertad,Población por sexo: mujeres,2666,42.940299,28.090318,27.707616,78.032912,-999.0,68.924608,38.499809,43.249522,2020-01-01,Chiapas,Chiapas
7,Chiapas,7051,Mapastepec,Población por sexo: mujeres,25608,71.013586,33.934917,46.348205,81.837551,11.760336,58.46123,23.647149,72.77416,2020-01-01,Chiapas,Chiapas
7,Chiapas,7052,Las Margaritas,Población por sexo: mujeres,63550,94.118111,42.188509,-999.0,93.237057,-999.0,77.24286,-999.0,94.547668,2020-01-01,Chiapas,Chiapas
7,Chiapas,7053,Mazapa de Madero,Población por sexo: mujeres,4035,83.007655,32.304159,9.849451,86.118908,23.016076,19.852003,-999.0,84.558816,2020-01-01,Chiapas,Chiapas
7,Chiapas,7054,Mazatán,Población por sexo: mujeres,15581,56.819235,28.580986,36.501312,78.837773,23.234902,74.58469,25.849371,58.344415,2020-01-01,Chiapas,Chiapas
7,Chiapas,7055,Metapa,Población por sexo: mujeres,3136,61.137931,23.324658,49.316851,60.767729,26.284971,59.921926,24.82108,65.408588,2020-01-01,Chiapas,Chiapas
7,Chiapas,7056,Mitontic,Población por sexo: mujeres,7111,98.317794,55.98668,-999.0,60.40249,43.332851,97.017518,-999.0,98.641089,2020-01-01,Chiapas,Chiapas
7,Chiapas,7057,Motozintla,Población por sexo: mujeres,33081,71.810963,27.378101,26.703534,71.96071,13.705595,21.650317,9.204279,79.51186,2020-01-01,Chiapas,Chiapas
7,Chiapas,7058,Nicolás Ruíz,Población por sexo: mujeres,2346,96.696108,38.259729,6.864889,89.243551,46.873634,76.519458,27.940533,97.553126,2020-01-01,Chiapas,Chiapas
7,Chiapas,7059,Ocosingo,Población por sexo: mujeres,113693,92.345563,37.217915,-999.0,90.392257,-999.0,87.623085,-999.0,93.375985,2020-01-01,Chiapas,Chiapas
7,Chiapas,7060,Ocotepec,Población por sexo: mujeres,7281,92.25681,41.757933,17.83207,91.71581,46.882898,79.163156,10.53075,92.892727,2020-01-01,Chiapas,Chiapas
7,Chiapas,7061,Ocozocoautla de Espinosa,Población por sexo: mujeres,48411,72.67076,31.599059,37.825472,72.920388,18.086738,53.709788,18.878923,76.38275,2020-01-01,Chiapas,Chiapas
7,Chiapas,7062,Ostuacán,Población por sexo: mujeres,11387,59.213405,26.379123,38.94433,84.35012,12.344775,70.866092,-999.0,59.847929,2020-01-01,Chiapas,Chiapas
7,Chiapas,7063,Osumacinta,Población por sexo: mujeres,2022,69.773671,23.797468,-999.0,72.455696,-999.0,49.164557,13.518987,74.265823,2020-01-01,Chiapas,Chiapas
